"","x"
"SL339468.genes.results",0
"SL339470.genes.results",1
"SL340706.genes.results",0
"SL340707.genes.results",0
"SL340708.genes.results",0
"SL340709.genes.results",0
"SL340710.genes.results",0
"SL340711.genes.results",0
"SL340712.genes.results",0
"SL340713.genes.results",0
"SL340714.genes.results",0
"SL340716.genes.results",0
"SL340717.genes.results",0
"SL340718.genes.results",0
"SL340732.genes.results",0
"SL340733.genes.results",1
"SL340734.genes.results",0
"SL340735.genes.results",0
"SL340736.genes.results",1
"SL340737.genes.results",0
"SL340752.genes.results",1
"SL340753.genes.results",0
"SL340754.genes.results",0
"SL340755.genes.results",0
"SL340756.genes.results",0
"SL340757.genes.results",0
"SL340758.genes.results",0
"SL340759.genes.results",0
"SL340760.genes.results",0
"SL340774.genes.results",0
"SL340775.genes.results",0
"SL340776.genes.results",0
"SL340777.genes.results",1
"SL340778.genes.results",1
"SL340779.genes.results",1
"SL340780.genes.results",1
"SL340781.genes.results",1
"SL340782.genes.results",1
"SL340783.genes.results",1
"SL340784.genes.results",1
"SL340785.genes.results",1
"SL340786.genes.results",0
"SL340787.genes.results",0
"SL340788.genes.results",0
"SL341270.genes.results",0
"SL341271.genes.results",0
"SL341272.genes.results",0
"SL341273.genes.results",0
"SL341274.genes.results",0
"SL341275.genes.results",0
"SL341276.genes.results",0
"SL341277.genes.results",0
"SL341278.genes.results",1
"SL341279.genes.results",1
"SL341281.genes.results",1
"SL341282.genes.results",0
"SL341283.genes.results",0
"SL341284.genes.results",0
"SL341286.genes.results",0
"SL341287.genes.results",1
"SL341289.genes.results",0
"SL341292.genes.results",0
"SL341293.genes.results",1
"SL341294.genes.results",0
"SL341295.genes.results",0
"SL341296.genes.results",0
"SL341297.genes.results",0
"SL341298.genes.results",1
"SL341299.genes.results",0
"SL341300.genes.results",0
"SL341301.genes.results",0
"SL341302.genes.results",1
"SL341303.genes.results",0
"SL341304.genes.results",1
"SL341305.genes.results",0
"SL341306.genes.results",0
"SL341307.genes.results",0
"SL341308.genes.results",0
"SL341309.genes.results",0
"SL341310.genes.results",1
"SL341318.genes.results",0
"SL341319.genes.results",1
"SL341320.genes.results",1
"SL341321.genes.results",0
"SL341322.genes.results",0
"SL341323.genes.results",0
"SL341324.genes.results",0
"SL341325.genes.results",0
"SL341326.genes.results",0
"SL341327.genes.results",1
"SL341328.genes.results",0
"SL341329.genes.results",0
"SL341330.genes.results",0
"SL341331.genes.results",0
"SL341332.genes.results",0
"SL341336.genes.results",1
"SL341338.genes.results",0
"SL341339.genes.results",0
"SL341342.genes.results",1
"SL341343.genes.results",1
"SL341344.genes.results",0
"SL341345.genes.results",0
"SL341346.genes.results",0
"SL341347.genes.results",1
"SL341348.genes.results",0
"SL341349.genes.results",0
"SL341350.genes.results",1
"SL341351.genes.results",1
"SL341352.genes.results",1
"SL341353.genes.results",1
"SL341354.genes.results",1
"SL341355.genes.results",1
"SL341356.genes.results",1
"SL341357.genes.results",0
"SL341358.genes.results",0
"SL341359.genes.results",1
"SL341360.genes.results",0
"SL341365.genes.results",0
"SL342652.genes.results",1
"SL342653.genes.results",1
"SL342654.genes.results",1
"SL342655.genes.results",1
"SL342656.genes.results",1
"SL342659.genes.results",1
"SL342661.genes.results",0
"SL342663.genes.results",1
"SL342666.genes.results",0
"SL342667.genes.results",1
"SL342672.genes.results",0
"SL342676.genes.results",0
